game_title,platforms,release_date,developer,publisher,genre,source_url,stats_url,crit_score,total_crit_reviews,crit_pos,crit_mix,crit_neg,user_score_mc,total_user_reviews,user_pos,user_mix,user_neg,total_user_ratings,user_05,user_10,user_15,user_20,user_25,user_30,user_35,user_40,user_45,user_50,total_diff_votes,diff_simple,diff_easy,diff_justright,diff_tough,diff_unforgiving,total_playtime_votes,0_hour,1_hour,2_hours,4_hours,8_hours,12_hours,20_hours,40_hours,60_hours,over_80_hours,total_ownership_votes,own_played,own_owned,own_own,total_completion_votes,comp_triedit,comp_playedit,comp_halfway,comp_beatit,comp_conqueredit
Baldur's Gate II: Shadows of Amn,PC,2000-09-24,BioWare,Interplay,Western RPG,https://www.metacritic.com/game/baldurs-gate-ii-shadows-of-amn/,https://gamefaqs.gamespot.com/pc/258273-baldurs-gate-ii-shadows-of-amn/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,30,30,0,0,9.0,1721,1559,75,87,1067,44,0,2,7,14,26,43,118,297,516,581,8,5,307,240,21,423,4,1,2,0,0,0,9,45,82,280,1714,408,68,1238,1007,105,149,78,313,362
Grand Theft Auto: San Andreas,PlayStation 2|PC|Xbox|iOS (iPhone/iPad)|Xbox 360|PlayStation 3|PlayStation 4,2004-10-26,Rockstar North,Rockstar Games,Open-World Action,https://www.metacritic.com/game/grand-theft-auto-san-andreas/,https://gamefaqs.gamespot.com/ps2/914983-grand-theft-auto-san-andreas/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,80,79,1,0,9.1,5666,5202,335,129,6197,39,8,10,34,80,175,521,1303,1986,2041,3302,20,167,2325,731,59,2219,5,3,5,15,25,71,173,475,627,820,9822,1892,760,7170,6566,526,1162,618,2358,1902
Grand Theft Auto: Vice City,PlayStation 2|PC|Xbox|PlayStation 4,2002-10-29,Rockstar North,Rockstar Games,Open-World Action,https://www.metacritic.com/game/grand-theft-auto-vice-city/,https://gamefaqs.gamespot.com/ps2/561545-grand-theft-auto-vice-city/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,62,62,0,0,8.6,3005,2569,359,77,3784,8,9,7,19,61,194,443,1036,1161,846,2202,14,113,1564,484,27,1423,6,2,8,12,31,74,211,488,306,285,6901,1248,697,4956,4187,327,680,399,1539,1242
LittleBigPlanet,PlayStation 3|PSP,2008-10-27,Media Molecule,SCEA,2D Platformer,https://www.metacritic.com/game/littlebigplanet/,https://gamefaqs.gamespot.com/ps3/938583-littlebigplanet/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,85,85,0,0,8.2,1734,1289,352,93,4693,21,14,14,32,114,356,622,1140,1345,1035,2046,106,471,1231,223,15,1144,1,3,11,37,155,211,272,230,73,151,8701,983,502,7216,5521,994,1329,460,2083,655
The Legend of Zelda Collector's Edition,GameCube,2003-11-17,Nintendo,Nintendo,Compilation,https://www.metacritic.com/game/the-legend-of-zelda-collectors-edition/,https://gamefaqs.gamespot.com/gamecube/919239-the-legend-of-zelda-collectors-edition/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,8,8,0,0,8.8,282,249,11,22,3053,109,8,1,8,17,31,98,360,688,1733,1395,12,30,972,347,34,815,6,0,2,5,5,17,56,142,234,348,5167,965,252,3950,2797,223,659,321,951,643
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition,Nintendo Switch 2,2025-06-05,Nintendo,Nintendo,Open-World Action,https://www.metacritic.com/game/the-legend-of-zelda-tears-of-the-kingdom-nintendo/,https://gamefaqs.gamespot.com/switch/266202-the-legend-of-zelda-tears-of-the-kingdom/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,16,16,0,0,8.3,838,658,79,101,1074,36,12,6,10,19,37,45,139,313,457,938,20,44,650,198,26,838,9,4,7,5,2,8,11,19,62,711,1502,171,14,1317,922,32,127,156,409,198
Gran Turismo 3: A-Spec,PlayStation 2,2001-07-09,Polyphony Digital,SCEA,Auto Racing Sim,https://www.metacritic.com/game/gran-turismo-3-a-spec/,https://gamefaqs.gamespot.com/ps2/197470-gran-turismo-3-a-spec/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,54,53,1,0,8.3,484,389,68,27,1635,6,6,6,15,45,124,291,490,431,221,922,6,35,564,277,40,487,1,2,3,4,10,13,33,59,93,269,3431,418,259,2754,1893,274,629,251,422,317
Halo 2,Xbox|PC,2004-11-09,Bungie,Microsoft Game Studios,FPS,https://www.metacritic.com/game/halo-2/,https://gamefaqs.gamespot.com/xbox/562116-halo-2/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,91,89,2,0,8.7,2124,1845,172,107,3278,27,5,9,24,63,173,422,953,955,647,1535,9,89,1075,322,40,1159,1,2,6,31,175,269,342,170,33,130,5741,1077,401,4263,3683,282,326,123,1760,1192
The Legend of Zelda: A Link to the Past / Four Swords,Game Boy Advance,2002-12-03,Nintendo,Nintendo,Open-World Action,https://www.metacritic.com/game/the-legend-of-zelda-a-link-to-the-past-four-swords/,https://gamefaqs.gamespot.com/snes/588436-the-legend-of-zelda-a-link-to-the-past/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,30,29,1,0,8.9,941,834,71,36,7856,135,15,10,17,53,158,311,994,1755,4408,4688,34,215,3465,926,48,3399,15,5,13,58,193,442,1213,1132,120,208,11411,2783,637,7991,7692,356,635,566,2207,3928
The Legend of Zelda: Majora's Mask,Nintendo 64,2000-10-25,Nintendo,Nintendo,Open-World Action,https://www.metacritic.com/game/the-legend-of-zelda-majoras-mask/,https://gamefaqs.gamespot.com/n64/197770-the-legend-of-zelda-majoras-mask/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,27,27,0,0,9.2,2262,2084,91,87,6655,61,16,13,37,84,200,422,1148,1905,2769,4048,16,111,2316,1476,129,2727,6,4,3,11,51,160,543,1269,360,320,10442,2438,657,7347,7047,605,966,643,1791,3042
The Last of Us,PlayStation 3,2013-06-14,Naughty Dog,SCEA,Linear Action Adventure,https://www.metacritic.com/game/the-last-of-us/,https://gamefaqs.gamespot.com/ps3/652686-the-last-of-us/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,98,97,1,0,9.2,16734,15212,671,851,5141,114,19,19,41,64,150,264,594,1304,2572,3744,33,128,2383,1139,61,2937,9,3,4,10,63,583,1698,394,60,113,7503,1889,411,5203,4493,156,398,331,2711,897
The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition,Nintendo Switch 2,2025-06-05,Nintendo,Nintendo,Open-World Action,https://www.metacritic.com/game/the-legend-of-zelda-breath-of-the-wild-nintendo/,https://gamefaqs.gamespot.com/switch/189707-the-legend-of-zelda-breath-of-the-wild/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,14,14,0,0,8.6,709,587,56,66,9825,233,37,22,50,64,189,326,908,2540,5456,7653,99,358,3663,3323,210,5824,32,6,15,25,21,35,73,273,443,4901,13212,3787,200,9226,8217,148,1067,1123,3989,1890
The Legend of Zelda: Twilight Princess,GameCube|Wii,2006-11-19,Nintendo,Nintendo,Open-World Action,https://www.metacritic.com/game/the-legend-of-zelda-twilight-princess/,https://gamefaqs.gamespot.com/wii/928519-the-legend-of-zelda-twilight-princess/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,73,73,0,0,8.9,2332,2064,188,80,8770,36,14,18,34,84,282,718,1885,3149,2550,4466,72,566,3091,683,54,3077,4,2,6,14,33,126,496,1357,700,339,14023,2101,602,11319,9670,902,1421,771,3405,3171
Madden NFL 2003,GameCube|Xbox|PlayStation 2|PlayStation|Game Boy Advance|PC,2002-08-12,EA Sports,EA Sports,Football Sim,https://www.metacritic.com/game/madden-nfl-2003/,https://gamefaqs.gamespot.com/ps2/561130-madden-nfl-2003/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,95,25,25,0,0,6.7,65,40,9,16,120,1,0,2,2,12,22,25,36,18,2,60,3,16,34,7,0,34,0,0,0,2,1,1,5,15,3,7,357,62,39,256,154,30,53,5,41,25
